Fila,country,designation,points,price,province,region_1,variety,winery
1,US,Martha's Vineyard,96,235,California,Napa Valley,Cabernet Sauvignon,Heitz
2,Spain,Carodorum Selección Especial Reserva,96,110,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
3,US,Special Selected Late Harvest,96,90,California,Knights Valley,Sauvignon Blanc,Macauley
4,US,Reserve,96,65,Oregon,Willamette Valley,Pinot Noir,Ponzi
5,France,La Brûlade,95,66,Provence,Bandol,Provence red blend,Domaine de la Bégude
6,Spain,Numanthia,95,73,Northern Spain,Toro,Tinta de Toro,Numanthia
7,Spain,San Román,95,65,Northern Spain,Toro,Tinta de Toro,Maurodos
8,Spain,Carodorum Único Crianza,95,110,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
9,US,Silice,95,65,Oregon,Chehalem Mountains,Pinot Noir,Bergström
10,US,Gap's Crown Vineyard,95,60,California,Sonoma Coast,Pinot Noir,Blue Farm
11,Italy,Ronco della Chiesa,95,80,Northeastern Italy,Collio,Friulano,Borgo del Tiglio
12,US,Estate Vineyard Wadensvil Block,95,48,Oregon,Ribbon Ridge,Pinot Noir,Patricia Green Cellars
13,US,Weber Vineyard,95,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
14,France,Château Montus Prestige,95,90,Southwest France,Madiran,Tannat,Vignobles Brumont
15,US,Grace Vineyard,95,185,Oregon,Dundee Hills,Pinot Noir,Domaine Serene
16,US,Sigrid,95,90,Oregon,Willamette Valley,Chardonnay,Bergström
17,US,Rainin Vineyard,95,325,California,Diamond Mountain District,Cabernet Sauvignon,Hall
18,Spain,6 Años Reserva Premium,95,80,Northern Spain,Ribera del Duero,Tempranillo,Valduero
19,France,Le Pigeonnier,95,290,Southwest France,Cahors,Malbec,Château Lagrézette
20,US,Gap's Crown Vineyard,95,75,California,Sonoma Coast,Pinot Noir,Gary Farrell
21,US,Grignolino,95,24,California,Napa Valley,Rosé,Heitz
22,Spain,Prado Enea Gran Reserva,95,79,Northern Spain,Rioja,Tempranillo Blend,Muga
23,Spain,Termanthia,95,220,Northern Spain,Toro,Tinta de Toro,Numanthia
24,US,Giallo Solare,95,60,California,Edna Valley,Chardonnay,Center of Effort
25,US,R-Bar-R Ranch,95,45,California,Santa Cruz Mountains,Pinot Noir,Comartin
26,New Zealand,Maté's Vineyard,94,57,Kumeu,,Chardonnay,Kumeu River
27,US,Shea Vineyard,94,62,Oregon,Willamette Valley,Pinot Noir,Bergström
28,US,Abetina,94,105,Oregon,Willamette Valley,Pinot Noir,Ponzi
29,US,Garys' Vineyard,94,60,California,Santa Lucia Highlands,Pinot Noir,Roar
30,US,The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
31,Bulgaria,Bergulé,90,15,Bulgaria,,Mavrud,Villa Melnik
32,US,Babushka,90,37,California,Russian River Valley,Chardonnay,Zepaltas
33,Italy,Vigna Piaggia,90,,Tuscany,Brunello di Montalcino,Sangiovese,Abbadia Ardenga
34,France,Nonpareil Trésor Rosé Brut,90,22,France Other,Vin Mousseux,Sparkling Blend,Bouvet-Ladubay
35,US,Conner Lee Vineyard,90,42,Washington,Columbia Valley (WA),Chardonnay,Buty
36,Italy,Riserva,90,135,Tuscany,Brunello di Montalcino,Sangiovese,Carillon
37,France,,90,60,Rhône Valley,Châteauneuf-du-Pape,Rhône-style White Blend,Clos de L'Oratoire des Papes
38,Italy,,90,29,Tuscany,Vino Nobile di Montepulciano,Sangiovese,Avignonesi
